layers,bidir,emb_dim,dropout,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
1,False,900,0.7,1,1.3564,0.3642,1.2866,0.4303
1,False,900,0.7,2,1.2521,0.4608,1.2009,0.48590000000000005
1,False,900,0.7,3,1.2038,0.4961,1.1302,0.5352
1,False,900,0.7,4,1.1637,0.5227,1.1252,0.5216
1,False,900,0.7,5,1.1361,0.5381,1.1179,0.5529
1,False,900,0.7,6,1.1124,0.5505,1.0733,0.575
1,False,900,0.7,7,1.0845,0.5650999999999999,1.1021,0.584
1,False,900,0.7,8,1.0613,0.5756,1.0321,0.6018
1,False,900,0.7,9,1.0386,0.5895,0.9756,0.615
1,False,900,0.7,10,1.0161,0.5986,1.0552,0.5929
1,False,900,0.7,11,0.9992,0.6047,0.9014,0.6459
1,False,900,0.7,12,0.9808,0.614,0.9802,0.6331
1,False,900,0.7,13,0.9588,0.6243,0.8582,0.6884
1,False,900,0.7,14,0.9439,0.6335999999999999,0.9334,0.6573
1,False,900,0.7,15,0.928,0.6393,0.9624,0.6374
1,False,900,0.7,16,0.9092,0.6470999999999999,0.8954,0.6751
1,False,900,0.7,17,0.8966,0.6537999999999999,0.9366,0.6620999999999999
1,False,900,0.7,18,0.8855,0.6586,0.961,0.6643000000000001
1,False,900,0.7,19,0.8694,0.665,1.0201,0.6442
1,False,900,0.7,20,0.8576,0.6723,0.9696,0.6707
1,False,900,0.7,21,0.8435,0.6781,1.0077,0.6686
1,False,900,0.7,22,0.8289,0.6864,0.9443,0.6796
1,False,900,0.7,23,0.8216,0.6888,0.9209,0.6753
1,False,900,0.7,24,0.8061,0.6951,0.9382,0.6842
1,False,900,0.7,25,0.7987,0.6984,0.928,0.6884999999999999
1,False,900,0.7,26,0.7882,0.7061,0.7958,0.7284999999999999
1,False,900,0.7,27,0.7735,0.7112,0.9122,0.6865000000000001
1,False,900,0.7,28,0.7651,0.7148,0.9077,0.682
1,False,900,0.7,29,0.7552,0.718,0.8691,0.7064
1,False,900,0.7,30,0.7472,0.7239,0.8378,0.7265
1,False,900,0.7,31,0.7373,0.728,0.8534,0.7131000000000001
1,False,900,0.7,32,0.7288,0.7317,0.8152,0.7198
1,False,900,0.7,33,0.7237,0.7321,0.8157,0.7265
1,False,900,0.7,34,0.7136,0.7395999999999999,0.8085,0.7153
1,False,900,0.7,35,0.7062,0.7424,0.7936,0.7067
1,False,900,0.7,36,0.6954,0.7472,0.8175,0.6956
1,False,900,0.7,37,0.6906,0.7490000000000001,0.7997,0.6999
1,False,900,0.7,38,0.6798,0.7506999999999999,0.8039,0.711
1,False,900,0.7,39,0.6832,0.7506999999999999,0.7896,0.7177
1,False,900,0.7,40,0.673,0.7544,0.7643,0.7287
1,False,900,0.7,41,0.6634,0.7612000000000001,0.8348,0.72
1,False,900,0.7,42,0.6609,0.7605,0.7818,0.7375
1,False,900,0.7,43,0.6602,0.7608,0.7416,0.762
1,False,900,0.7,44,0.6484,0.7659999999999999,0.8655,0.7222
1,False,900,0.7,45,0.6529,0.7637,0.7166,0.7419
1,False,900,0.7,46,0.6394,0.7698999999999999,0.783,0.7376
1,False,900,0.7,47,0.6373,0.772,0.7942,0.7509999999999999
1,False,900,0.7,48,0.6318,0.7756000000000001,0.8036,0.7289
1,False,900,0.7,49,0.6272,0.7741,0.6626,0.7709
1,False,900,0.7,50,0.6262,0.7757999999999999,0.7259,0.7665000000000001
1,False,900,0.7,51,0.6206,0.7778,0.7249,0.7731999999999999
1,False,900,0.7,52,0.6166,0.7794,0.7311,0.7533
1,False,900,0.7,53,0.6139,0.7813,0.7258,0.76
1,False,900,0.7,54,0.6136,0.7817000000000001,0.7187,0.7709
1,False,900,0.7,55,0.6065,0.7857999999999999,0.7197,0.7667
1,False,900,0.7,56,0.6074,0.7845,0.6167,0.8019
1,False,900,0.7,57,0.6046,0.7852,0.737,0.7399
1,False,900,0.7,58,0.5991,0.7873,0.7626,0.7442
1,False,900,0.7,59,0.5972,0.7886,0.7334,0.7776000000000001
1,False,900,0.7,60,0.5881,0.7903,0.6349,0.7886
1,False,900,0.7,61,0.591,0.7892,0.6971,0.7953
1,False,900,0.7,62,0.5814,0.7953,0.7288,0.7756000000000001
1,False,900,0.7,63,0.5815,0.795,0.7747,0.7734000000000001
1,False,900,0.7,64,0.5811,0.7948999999999999,0.6714,0.7931
1,False,900,0.7,65,0.5787,0.7964,0.7037,0.7667
1,False,900,0.7,66,0.571,0.7986,0.6778,0.7756000000000001
1,False,900,0.7,67,0.5711,0.7976000000000001,0.6953,0.7909
1,False,900,0.7,68,0.5695,0.7993000000000001,0.6669,0.7933
1,False,900,0.7,69,0.5677,0.7994,0.7186,0.7909
1,False,900,0.7,70,0.569,0.7997,0.7704,0.7533
1,False,900,0.7,71,0.567,0.8007,0.7348,0.7866
1,False,900,0.7,72,0.5591,0.8058,0.7602,0.7711
1,False,900,0.7,73,0.5596,0.8025,0.6299,0.8044
1,False,900,0.7,74,0.5628,0.8028,0.7163,0.7756000000000001
1,False,900,0.7,75,0.5598,0.8031,0.7066,0.7823
1,False,900,0.7,76,0.5525,0.8059999999999999,0.7229,0.7778
1,False,900,0.7,77,0.5529,0.8053,0.7465,0.7711
1,False,900,0.7,78,0.553,0.8062,0.7158,0.7955
1,False,900,0.7,79,0.5494,0.8065000000000001,0.695,0.7909999999999999
1,False,900,0.7,80,0.5499,0.8073999999999999,0.7456,0.76
1,False,900,0.7,81,0.5462,0.8086,0.76,0.7731999999999999
1,False,900,0.7,82,0.5466,0.8084,0.7139,0.7778
1,False,900,0.7,83,0.5446,0.81,0.7232,0.7778
1,False,900,0.7,84,0.5483,0.8075,0.7115,0.7622
1,False,900,0.7,85,0.5431,0.8101999999999999,0.7985,0.7667
1,False,900,0.7,86,0.5366,0.8119,0.6898,0.7933
1,False,900,0.7,87,0.5389,0.8105,0.7084,0.7866
1,False,900,0.7,88,0.5302,0.8154,0.7363,0.7734000000000001
