layers,bidir,emb_dim,dropout,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
2,True,900,0.6,1,1.1483,0.507,0.9409,0.6331
2,True,900,0.6,2,0.9633,0.6084,0.7098,0.7375
2,True,900,0.6,3,0.8507,0.6591,0.5475,0.8151999999999999
2,True,900,0.6,4,0.7574,0.7025,0.4479,0.8377
2,True,900,0.6,5,0.6859,0.7321,0.4113,0.8532
2,True,900,0.6,6,0.628,0.758,0.3185,0.9042
2,True,900,0.6,7,0.5841,0.7759999999999999,0.2689,0.9111
2,True,900,0.6,8,0.5433,0.7933,0.2566,0.9133
2,True,900,0.6,9,0.5134,0.8054000000000001,0.2296,0.9045000000000001
2,True,900,0.6,10,0.4791,0.8193,0.2901,0.8915000000000001
2,True,900,0.6,11,0.4593,0.8270000000000001,0.1361,0.9445
2,True,900,0.6,12,0.4352,0.8373999999999999,0.1397,0.9490000000000001
2,True,900,0.6,13,0.4173,0.8432999999999999,0.1393,0.9445
2,True,900,0.6,14,0.3947,0.8523999999999999,0.1261,0.9555
2,True,900,0.6,15,0.3838,0.8565,0.112,0.9511
2,True,900,0.6,16,0.3699,0.8621,0.0947,0.9777
2,True,900,0.6,17,0.3547,0.8679000000000001,0.1078,0.96
2,True,900,0.6,18,0.3422,0.8713,0.0694,0.9754
2,True,900,0.6,19,0.3381,0.875,0.0889,0.971
2,True,900,0.6,20,0.3212,0.8802,0.0801,0.9688
2,True,900,0.6,21,0.3174,0.8804000000000001,0.0796,0.9645
2,True,900,0.6,22,0.308,0.8869,0.072,0.9887999999999999
2,True,900,0.6,23,0.2966,0.8898999999999999,0.0659,0.9689
2,True,900,0.6,24,0.2949,0.8909,0.0916,0.9689
2,True,900,0.6,25,0.2879,0.8928,0.0522,0.9801000000000001
2,True,900,0.6,26,0.2788,0.8956000000000001,0.0425,0.9865999999999999
2,True,900,0.6,27,0.275,0.898,0.0538,0.9865999999999999
2,True,900,0.6,28,0.2687,0.9011,0.0586,0.9734
2,True,900,0.6,29,0.2616,0.9031,0.0631,0.9756
2,True,900,0.6,30,0.261,0.9025,0.0636,0.9754
2,True,900,0.6,31,0.2517,0.9059,0.0625,0.9865999999999999
2,True,900,0.6,32,0.2445,0.9085,0.0553,0.9756
2,True,900,0.6,33,0.2418,0.9095,0.0574,0.9843999999999999
2,True,900,0.6,34,0.241,0.9097,0.0708,0.9734
2,True,900,0.6,35,0.2328,0.9133,0.0999,0.9779000000000001
2,True,900,0.6,36,0.231,0.9128000000000001,0.0587,0.9779000000000001
2,True,900,0.6,37,0.2261,0.9157,0.0629,0.9843999999999999
2,True,900,0.6,38,0.2237,0.9167000000000001,0.0579,0.9865999999999999
2,True,900,0.6,39,0.2244,0.9172,0.059,0.9779000000000001
2,True,900,0.6,40,0.2201,0.9185,0.0583,0.9756
2,True,900,0.6,41,0.212,0.9211,0.0683,0.9823000000000001
2,True,900,0.6,42,0.212,0.92,0.0471,0.9779000000000001
2,True,900,0.6,43,0.2127,0.9209999999999999,0.1017,0.9823000000000001
2,True,900,0.6,44,0.2111,0.9213,0.1103,0.9734
2,True,900,0.6,45,0.2072,0.9235,0.0712,0.9801000000000001
2,True,900,0.6,46,0.2049,0.9236,0.0814,0.9756
