layers,bidir,emb_dim,dropout,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
1,True,900,0.5,1,1.1087,0.526,0.8557,0.6708
1,True,900,0.5,2,0.8257,0.6695,0.605,0.8019
1,True,900,0.5,3,0.6443,0.7487,0.4518,0.8755
1,True,900,0.5,4,0.5273,0.799,0.3843,0.8887
1,True,900,0.5,5,0.4543,0.8278,0.3128,0.8954000000000001
1,True,900,0.5,6,0.398,0.8503000000000001,0.2985,0.9111
1,True,900,0.5,7,0.3633,0.8628,0.2081,0.9555
1,True,900,0.5,8,0.3314,0.8752,0.2992,0.9377
1,True,900,0.5,9,0.3091,0.8832,0.2784,0.9445
1,True,900,0.5,10,0.2853,0.8934000000000001,0.2791,0.9645
1,True,900,0.5,11,0.2719,0.8981,0.3225,0.9534999999999999
1,True,900,0.5,12,0.2582,0.9039,0.2476,0.9645
1,True,900,0.5,13,0.2511,0.9063,0.2081,0.9621999999999999
1,True,900,0.5,14,0.2396,0.9107,0.2824,0.9645
1,True,900,0.5,15,0.2249,0.917,0.212,0.9645
1,True,900,0.5,16,0.219,0.9193000000000001,0.243,0.9667
1,True,900,0.5,17,0.2176,0.9186,0.179,0.9689
1,True,900,0.5,18,0.2037,0.9244,0.1856,0.9689
1,True,900,0.5,19,0.2018,0.9235,0.1589,0.9667
1,True,900,0.5,20,0.1932,0.9279999999999999,0.1887,0.9734
1,True,900,0.5,21,0.1906,0.9279999999999999,0.2015,0.9712000000000001
1,True,900,0.5,22,0.1857,0.9308,0.2334,0.9667
1,True,900,0.5,23,0.1825,0.9312999999999999,0.1821,0.9689
1,True,900,0.5,24,0.1739,0.9347,0.16,0.9689
1,True,900,0.5,25,0.1702,0.9357,0.1534,0.9645
1,True,900,0.5,26,0.1718,0.9366,0.1594,0.9667
1,True,900,0.5,27,0.1659,0.9381999999999999,0.1466,0.9689
1,True,900,0.5,28,0.1639,0.9386,0.1287,0.9734
1,True,900,0.5,29,0.158,0.941,0.151,0.9756
1,True,900,0.5,30,0.1539,0.943,0.1367,0.9689
1,True,900,0.5,31,0.152,0.9423999999999999,0.1575,0.9734
1,True,900,0.5,32,0.1498,0.9445,0.2559,0.9734
1,True,900,0.5,33,0.1493,0.9442,0.186,0.9756
1,True,900,0.5,34,0.1487,0.9449,0.1483,0.9689
1,True,900,0.5,35,0.1419,0.9469,0.2073,0.9667
1,True,900,0.5,36,0.1393,0.9467,0.2467,0.9712000000000001
1,True,900,0.5,37,0.1371,0.9493,0.289,0.9667
1,True,900,0.5,38,0.1369,0.9484999999999999,0.2625,0.9756
1,True,900,0.5,39,0.1362,0.9488,0.2636,0.9691
1,True,900,0.5,40,0.1358,0.9481999999999999,0.2379,0.9556999999999999
1,True,900,0.5,41,0.131,0.9511,0.3005,0.9534999999999999
1,True,900,0.5,42,0.1296,0.9505,0.2011,0.9667
1,True,900,0.5,43,0.1301,0.9511,0.2272,0.96
