layers,bidir,emb_dim,dropout,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
2,False,900,0.6,1,1.4637,0.2894,1.3765,0.3185
2,False,900,0.6,2,1.4182,0.29969999999999997,1.3914,0.3676
2,False,900,0.6,3,1.3545,0.3875,1.372,0.3765
2,False,900,0.6,4,1.2972,0.4078,1.4006,0.3542
2,False,900,0.6,5,1.292,0.4019,1.4248,0.3431
2,False,900,0.6,6,1.2185,0.47409999999999997,1.4713,0.314
2,False,900,0.6,7,1.1672,0.5134000000000001,1.507,0.3654
2,False,900,0.6,8,1.0968,0.5225,1.58,0.32520000000000004
2,False,900,0.6,9,1.0382,0.5719,1.6796,0.33409999999999995
2,False,900,0.6,10,1.0034,0.5881000000000001,1.7927,0.3455
2,False,900,0.6,11,0.9479,0.6253,1.9268,0.3432
2,False,900,0.6,12,0.8384,0.6603,2.026,0.3231
2,False,900,0.6,13,0.8063,0.6772,2.1523,0.2986
2,False,900,0.6,14,0.7666,0.7025,2.2373,0.3231
2,False,900,0.6,15,0.7197,0.72,2.3394,0.3187
2,False,900,0.6,16,0.6211,0.7509,2.4389,0.3321
2,False,900,0.6,17,0.5723,0.7728,2.4764,0.3209
2,False,900,0.6,18,0.5616,0.7622,2.5239,0.341
2,False,900,0.6,19,0.4862,0.8153,2.6131,0.341
2,False,900,0.6,20,0.4501,0.8309000000000001,2.7006,0.3566
2,False,900,0.6,21,0.4773,0.8328,2.7526,0.341
2,False,900,0.6,22,0.4117,0.8422,2.8082,0.3187
2,False,900,0.6,23,0.4097,0.8687999999999999,2.8179,0.3231
2,False,900,0.6,24,0.3823,0.8588,2.8518,0.341
2,False,900,0.6,25,0.3767,0.8641,2.9811,0.3187
2,False,900,0.6,26,0.354,0.8641,3.0104,0.3298
2,False,900,0.6,27,0.3737,0.8381000000000001,3.0376,0.32539999999999997
2,False,900,0.6,28,0.2852,0.9012,3.0502,0.32539999999999997
2,False,900,0.6,29,0.302,0.8856,3.1032,0.341
2,False,900,0.6,30,0.3356,0.8969,3.1765,0.3343
2,False,900,0.6,31,0.2881,0.9059,3.1581,0.3475
2,False,900,0.6,32,0.2627,0.9044,3.2087,0.3386
2,False,900,0.6,33,0.2477,0.9047,3.2762,0.3453
2,False,900,0.6,34,0.209,0.9140999999999999,3.4679,0.32539999999999997
2,False,900,0.6,35,0.2313,0.9025,3.4455,0.3408
