layers,bidir,emb_dim,dropout,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
4,True,2700,0.5,1,1.3802,0.2681,1.3645,0.2854
4,True,2700,0.5,2,1.3566,0.3613,1.3298,0.4081
4,True,2700,0.5,3,1.2228,0.49310000000000004,1.3513,0.40090000000000003
4,True,2700,0.5,4,0.9371,0.6475,1.8676,0.41
4,True,2700,0.5,5,0.5832,0.8012,2.2554,0.4214
4,True,2700,0.5,6,0.2783,0.9140999999999999,2.3565,0.4033
4,True,2700,0.5,7,0.2064,0.9266,2.6001,0.3925
4,True,2700,0.5,8,0.1313,0.9562,2.6692,0.4236
4,True,2700,0.5,9,0.1857,0.9484,2.7697,0.40090000000000003
4,True,2700,0.5,10,0.1256,0.9625,2.7868,0.3947
4,True,2700,0.5,11,0.0974,0.9765999999999999,3.1461,0.3923
4,True,2700,0.5,12,0.0492,0.9859,3.1521,0.37479999999999997
4,True,2700,0.5,13,0.0415,0.9891,3.362,0.37689999999999996
4,True,2700,0.5,14,0.0351,0.9875,3.3284,0.3836
4,True,2700,0.5,15,0.0371,0.9891,3.4336,0.3747
4,True,2700,0.5,16,0.0385,0.9828,3.364,0.41659999999999997
4,True,2700,0.5,17,0.0288,0.9906,3.4475,0.38799999999999996
4,True,2700,0.5,18,0.0568,0.9812000000000001,3.4871,0.4303
4,True,2700,0.5,19,0.0518,0.9812000000000001,3.2208,0.4167
4,True,2700,0.5,20,0.0479,0.9765999999999999,3.2184,0.4169
4,True,2700,0.5,21,0.044,0.9906,3.2145,0.3812
4,True,2700,0.5,22,0.021,0.9906,3.2733,0.4057
4,True,2700,0.5,23,0.0385,0.9843999999999999,3.4584,0.3815
4,True,2700,0.5,24,0.018,0.9937999999999999,3.4404,0.3882
4,True,2700,0.5,25,0.0178,0.9937999999999999,3.5934,0.3925
4,True,2700,0.5,26,0.0164,0.9953,3.8144,0.3815
4,True,2700,0.5,27,0.013,0.9969,3.9393,0.3882
4,True,2700,0.5,28,0.0111,0.9953,3.879,0.386
4,True,2700,0.5,29,0.0137,0.9887,3.7318,0.3925
4,True,2700,0.5,30,0.011,0.9969,3.9619,0.36590000000000006
4,True,2700,0.5,31,0.0198,0.9937999999999999,4.005,0.3638
4,True,2700,0.5,32,0.0082,0.9984000000000001,4.0516,0.3772
4,True,2700,0.5,33,0.0264,0.9922,4.0315,0.3661
4,True,2700,0.5,34,0.0146,0.9937999999999999,3.5969,0.39490000000000003
4,True,2700,0.5,35,0.0141,0.9953,3.4909,0.3925
4,True,2700,0.5,36,0.011,0.9953,3.6948,0.38380000000000003
4,True,2700,0.5,37,0.0098,0.9969,3.966,0.4147
4,True,2700,0.5,38,0.014,0.9937999999999999,4.1767,0.39899999999999997
4,True,2700,0.5,39,0.0115,0.9953,4.0727,0.38380000000000003
4,True,2700,0.5,40,0.0139,0.9937999999999999,4.2065,0.3815
4,True,2700,0.5,41,0.0209,0.9922,4.298,0.39030000000000004
4,True,2700,0.5,42,0.0218,0.9922,3.7992,0.3772
4,True,2700,0.5,43,0.0181,0.9922,3.935,0.38799999999999996
4,True,2700,0.5,44,0.0155,0.9953,3.7668,0.3815
4,True,2700,0.5,45,0.0129,0.9969,3.7205,0.37929999999999997
4,True,2700,0.5,46,0.0247,0.9922,3.7386,0.3971
4,True,2700,0.5,47,0.0404,0.9922,3.6273,0.39490000000000003
4,True,2700,0.5,48,0.0112,0.9937999999999999,3.7861,0.37479999999999997
4,True,2700,0.5,49,0.0054,1.0,4.1574,0.36810000000000004
4,True,2700,0.5,50,0.0113,0.9969,4.1101,0.36369999999999997
4,True,2700,0.5,51,0.0114,0.9937999999999999,4.0361,0.3815
4,True,2700,0.5,52,0.0127,0.9919,3.8584,0.386
4,True,2700,0.5,53,0.0154,0.9984000000000001,3.8469,0.39490000000000003
4,True,2700,0.5,54,0.0176,0.9906,3.9818,0.3771
4,True,2700,0.5,55,0.0101,0.9969,4.1805,0.3815
4,True,2700,0.5,56,0.0279,0.9922,3.82,0.40130000000000005
4,True,2700,0.5,57,0.0191,0.9891,3.7605,0.36369999999999997
4,True,2700,0.5,58,0.0123,0.9953,3.7,0.3726
4,True,2700,0.5,59,0.0118,0.9953,3.9807,0.39049999999999996
4,True,2700,0.5,60,0.0262,0.9937999999999999,4.0347,0.397
4,True,2700,0.5,61,0.0136,0.9937999999999999,4.0446,0.3836
4,True,2700,0.5,62,0.0292,0.9922,3.9376,0.4081
4,True,2700,0.5,63,0.0453,0.9843999999999999,3.933,0.36590000000000006
4,True,2700,0.5,64,0.0218,0.9922,3.5995,0.3657
4,True,2700,0.5,65,0.0387,0.9875,3.7899,0.3791
4,True,2700,0.5,66,0.0224,0.9953,3.8099,0.3747
4,True,2700,0.5,67,0.0176,0.9953,3.9106,0.3724
4,True,2700,0.5,68,0.019,0.9922,3.6816,0.37020000000000003
4,True,2700,0.5,69,0.0427,0.9891,3.7167,0.3856
4,True,2700,0.5,70,0.0208,0.9937999999999999,3.7673,0.4169
4,True,2700,0.5,71,0.0191,0.9906,3.5517,0.41240000000000004
4,True,2700,0.5,72,0.0251,0.9906,3.677,0.3856
