layers,bidir,emb_dim,dropout,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
5,True,2700,0.7,1,1.377,0.3009,1.3722,0.2854
5,True,2700,0.7,2,1.3769,0.28,1.3707,0.2807
5,True,2700,0.7,3,1.3798,0.2784,1.369,0.2854
5,True,2700,0.7,4,1.3731,0.29719999999999996,1.3655,0.2943
5,True,2700,0.7,5,1.3668,0.305,1.3322,0.359
5,True,2700,0.7,6,1.313,0.3778,1.409,0.348
5,True,2700,0.7,7,1.2422,0.4334,1.475,0.3992
5,True,2700,0.7,8,1.1622,0.49340000000000006,1.4807,0.38770000000000004
5,True,2700,0.7,9,1.0991,0.5328,1.4676,0.381
5,True,2700,0.7,10,1.0313,0.5853,1.4697,0.3968
5,True,2700,0.7,11,0.8992,0.6466,1.8617,0.3458
5,True,2700,0.7,12,0.7996,0.6781,1.884,0.40159999999999996
5,True,2700,0.7,13,0.7656,0.6962999999999999,1.8023,0.4236
5,True,2700,0.7,14,0.6628,0.7594,2.1118,0.4236
5,True,2700,0.7,15,0.6127,0.77,2.0344,0.42340000000000005
5,True,2700,0.7,16,0.5212,0.8247,2.2651,0.4104
5,True,2700,0.7,17,0.5138,0.8188,2.5997,0.408
5,True,2700,0.7,18,0.4834,0.8416,2.4292,0.4238
5,True,2700,0.7,19,0.4245,0.8387,2.322,0.4143
5,True,2700,0.7,20,0.3731,0.875,2.725,0.4368
5,True,2700,0.7,21,0.4212,0.8619,2.5295,0.44799999999999995
5,True,2700,0.7,22,0.3342,0.875,2.4381,0.4612
5,True,2700,0.7,23,0.3375,0.8937999999999999,3.0402,0.4171
5,True,2700,0.7,24,0.3009,0.9094,2.5758,0.4389
5,True,2700,0.7,25,0.2782,0.9062,2.9891,0.4305
5,True,2700,0.7,26,0.2511,0.9140999999999999,2.9279,0.4169
5,True,2700,0.7,27,0.219,0.9294,2.9052,0.4437
5,True,2700,0.7,28,0.1998,0.9328,3.0843,0.4349
5,True,2700,0.7,29,0.2425,0.9203,2.7198,0.4633
5,True,2700,0.7,30,0.1725,0.9438,2.861,0.44799999999999995
5,True,2700,0.7,31,0.2254,0.9262,2.957,0.42579999999999996
5,True,2700,0.7,32,0.2145,0.9225,3.0263,0.43700000000000006
