layers,bidir,emb_dim,dropout,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
5,True,4500,0.7,1,1.3804,0.2731,1.3726,0.2854
5,True,4500,0.7,2,1.3756,0.2625,1.368,0.2854
5,True,4500,0.7,3,1.3761,0.2734,1.368,0.2854
5,True,4500,0.7,4,1.3739,0.2988,1.3674,0.2854
5,True,4500,0.7,5,1.3662,0.305,1.345,0.3456
5,True,4500,0.7,6,1.3333,0.33659999999999995,1.3694,0.35409999999999997
5,True,4500,0.7,7,1.2783,0.41,1.3995,0.3836
5,True,4500,0.7,8,1.1791,0.49310000000000004,1.5321,0.35009999999999997
5,True,4500,0.7,9,1.1263,0.5225,1.4275,0.3834
5,True,4500,0.7,10,0.9687,0.6103000000000001,1.765,0.3613
5,True,4500,0.7,11,0.8806,0.6444,1.881,0.3544
5,True,4500,0.7,12,0.8776,0.6838,1.7045,0.37689999999999996
5,True,4500,0.7,13,0.6717,0.7319,2.0969,0.386
5,True,4500,0.7,14,0.5941,0.7781,2.2941,0.3947
5,True,4500,0.7,15,0.4885,0.8059000000000001,2.3432,0.4214
5,True,4500,0.7,16,0.5069,0.8137000000000001,2.3937,0.3992
5,True,4500,0.7,17,0.4186,0.8484,2.4423,0.4526
5,True,4500,0.7,18,0.4246,0.8478,2.3261,0.43700000000000006
5,True,4500,0.7,19,0.3853,0.8528,2.3142,0.41240000000000004
5,True,4500,0.7,20,0.3337,0.8797,2.4635,0.4301
5,True,4500,0.7,21,0.2533,0.9122,2.9085,0.4035
5,True,4500,0.7,22,0.3309,0.8844,2.7299,0.40369999999999995
5,True,4500,0.7,23,0.2848,0.8996999999999999,2.9176,0.4303
5,True,4500,0.7,24,0.2183,0.9328,2.8259,0.439
5,True,4500,0.7,25,0.2443,0.9109,2.9873,0.43700000000000006
5,True,4500,0.7,26,0.2089,0.9266,3.0634,0.4303
5,True,4500,0.7,27,0.1757,0.9484,2.9806,0.4279
5,True,4500,0.7,28,0.1898,0.9344,3.3264,0.4282
5,True,4500,0.7,29,0.2044,0.9372,2.9255,0.4232
5,True,4500,0.7,30,0.1896,0.9340999999999999,2.9561,0.4257
5,True,4500,0.7,31,0.1238,0.9609000000000001,3.2282,0.4081
5,True,4500,0.7,32,0.117,0.9609000000000001,3.3298,0.43700000000000006
5,True,4500,0.7,33,0.2138,0.925,3.0367,0.42810000000000004
5,True,4500,0.7,34,0.186,0.9438,2.9684,0.42579999999999996
5,True,4500,0.7,35,0.1674,0.9372,3.1698,0.408
5,True,4500,0.7,36,0.1146,0.9516,3.4969,0.4303
5,True,4500,0.7,37,0.1169,0.9625,3.5738,0.42579999999999996
5,True,4500,0.7,38,0.1201,0.9544,3.4001,0.4325
5,True,4500,0.7,39,0.1033,0.9734,3.5919,0.4238
5,True,4500,0.7,40,0.1287,0.9497,3.4344,0.3925
5,True,4500,0.7,41,0.1022,0.9641,3.6462,0.4282
5,True,4500,0.7,42,0.097,0.9672,3.7302,0.40590000000000004
5,True,4500,0.7,43,0.1133,0.9688,3.5053,0.4147
5,True,4500,0.7,44,0.1322,0.9562,3.5039,0.40369999999999995
5,True,4500,0.7,45,0.0737,0.9781,3.5186,0.397
5,True,4500,0.7,46,0.0771,0.9734,3.4952,0.4014
5,True,4500,0.7,47,0.0772,0.97,3.6693,0.40590000000000004
5,True,4500,0.7,48,0.0862,0.9781,3.6627,0.4303
5,True,4500,0.7,49,0.0877,0.9703,3.5509,0.40590000000000004
5,True,4500,0.7,50,0.0993,0.9716,3.6785,0.43270000000000003
5,True,4500,0.7,51,0.0777,0.9734,3.6417,0.43700000000000006
5,True,4500,0.7,52,0.0654,0.975,3.8333,0.4435
5,True,4500,0.7,53,0.061,0.9719,3.8558,0.4193
5,True,4500,0.7,54,0.0682,0.9797,3.8734,0.4214
5,True,4500,0.7,55,0.0828,0.975,4.1792,0.4169
5,True,4500,0.7,56,0.0675,0.975,3.8169,0.397
5,True,4500,0.7,57,0.0659,0.9765999999999999,4.0004,0.41479999999999995
5,True,4500,0.7,58,0.0544,0.9875,3.8922,0.4215
5,True,4500,0.7,59,0.0614,0.9812000000000001,3.7216,0.43479999999999996
5,True,4500,0.7,60,0.0859,0.9703,3.8069,0.426
5,True,4500,0.7,61,0.0836,0.9669,3.5852,0.426
5,True,4500,0.7,62,0.1074,0.9703,3.4896,0.42840000000000006
5,True,4500,0.7,63,0.0555,0.9781,3.5719,0.4193
5,True,4500,0.7,64,0.0467,0.9859,3.7311,0.42810000000000004
5,True,4500,0.7,65,0.0584,0.9781,3.7999,0.3994
5,True,4500,0.7,66,0.0474,0.9875,3.8013,0.39490000000000003
5,True,4500,0.7,67,0.047,0.9843999999999999,3.9471,0.426
5,True,4500,0.7,68,0.0666,0.9812000000000001,3.7858,0.43700000000000006
5,True,4500,0.7,69,0.0885,0.9731000000000001,3.7725,0.43920000000000003
5,True,4500,0.7,70,0.1133,0.9641,3.8434,0.4147
5,True,4500,0.7,71,0.0513,0.9875,4.0763,0.4061
5,True,4500,0.7,72,0.0558,0.975,4.1598,0.4105
5,True,4500,0.7,73,0.0748,0.9781,4.2798,0.39490000000000003
5,True,4500,0.7,74,0.0931,0.9731000000000001,3.8849,0.4325
5,True,4500,0.7,75,0.0585,0.9797,3.7336,0.4236
5,True,4500,0.7,76,0.0489,0.9843999999999999,3.7271,0.43700000000000006
5,True,4500,0.7,77,0.0503,0.9828,3.9351,0.43920000000000003
5,True,4500,0.7,78,0.0483,0.9843999999999999,4.0628,0.4236
5,True,4500,0.7,79,0.0189,0.9953,4.2285,0.4238
5,True,4500,0.7,80,0.035,0.9875,4.3031,0.4238
5,True,4500,0.7,81,0.0585,0.9828,4.2269,0.4305
5,True,4500,0.7,82,0.0373,0.9843999999999999,4.2433,0.4416
5,True,4500,0.7,83,0.0494,0.9859,4.2141,0.4305
5,True,4500,0.7,84,0.0435,0.9843999999999999,4.0469,0.43270000000000003
5,True,4500,0.7,85,0.0438,0.9906,4.2143,0.43939999999999996
5,True,4500,0.7,86,0.0451,0.9843999999999999,4.0895,0.41479999999999995
5,True,4500,0.7,87,0.0363,0.9875,4.0667,0.4238
5,True,4500,0.7,88,0.0595,0.9825,4.2499,0.4526
5,True,4500,0.7,89,0.0618,0.9812000000000001,4.2526,0.4416
5,True,4500,0.7,90,0.0507,0.9828,4.1551,0.426
5,True,4500,0.7,91,0.0577,0.9809,4.1188,0.4238
5,True,4500,0.7,92,0.0422,0.9812000000000001,4.5715,0.4416
5,True,4500,0.7,93,0.0721,0.9828,4.2709,0.4104
5,True,4500,0.7,94,0.0622,0.9843999999999999,4.064,0.4193
5,True,4500,0.7,95,0.0563,0.9843999999999999,4.0817,0.4081
5,True,4500,0.7,96,0.0468,0.9843999999999999,3.8951,0.4305
5,True,4500,0.7,97,0.052,0.9859,3.8936,0.4416
5,True,4500,0.7,98,0.029,0.9906,3.9116,0.4349
5,True,4500,0.7,99,0.0237,0.9922,4.0543,0.4439
5,True,4500,0.7,100,0.0366,0.9906,4.1624,0.43270000000000003
5,True,4500,0.7,101,0.0367,0.9812000000000001,4.0731,0.4171
5,True,4500,0.7,102,0.0839,0.9716,3.9659,0.4372
5,True,4500,0.7,103,0.0456,0.9843999999999999,3.8582,0.43920000000000003
5,True,4500,0.7,104,0.0738,0.9765999999999999,3.7136,0.4081
5,True,4500,0.7,105,0.0366,0.9875,3.8668,0.41240000000000004
5,True,4500,0.7,106,0.0559,0.9762000000000001,4.0857,0.3923
5,True,4500,0.7,107,0.0644,0.9812000000000001,4.3445,0.4081
5,True,4500,0.7,108,0.0487,0.9812000000000001,4.2817,0.4104
5,True,4500,0.7,109,0.0297,0.9809,4.0541,0.41240000000000004
5,True,4500,0.7,110,0.0442,0.9859,4.15,0.3992
5,True,4500,0.7,111,0.0323,0.9875,4.1608,0.4214
5,True,4500,0.7,112,0.056,0.9859,4.0367,0.4191
5,True,4500,0.7,113,0.0449,0.9812000000000001,4.1945,0.4325
5,True,4500,0.7,114,0.0615,0.9797,4.2043,0.4279
5,True,4500,0.7,115,0.046,0.9891,3.9931,0.4435
5,True,4500,0.7,116,0.0483,0.9859,3.9716,0.4191
5,True,4500,0.7,117,0.0409,0.9859,3.9835,0.397
5,True,4500,0.7,118,0.0299,0.9906,4.0549,0.40369999999999995
5,True,4500,0.7,119,0.0304,0.9891,4.1376,0.4325
5,True,4500,0.7,120,0.0505,0.9887,4.1501,0.4325
5,True,4500,0.7,121,0.0278,0.9937999999999999,4.2875,0.42579999999999996
5,True,4500,0.7,122,0.0117,0.9953,4.4247,0.4104
5,True,4500,0.7,123,0.0388,0.9859,4.1476,0.4081
5,True,4500,0.7,124,0.0352,0.9875,4.241,0.41479999999999995
5,True,4500,0.7,125,0.0423,0.9875,4.2332,0.41259999999999997
