layers,bidir,emb_dim,dropout,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
2,True,2700,0.5,1,1.3804,0.27440000000000003,1.3518,0.3546
2,True,2700,0.5,2,1.2958,0.4975,1.3359,0.37450000000000006
2,True,2700,0.5,3,1.2111,0.53,1.3276,0.39899999999999997
2,True,2700,0.5,4,1.0185,0.6584,1.4101,0.39899999999999997
2,True,2700,0.5,5,0.719,0.7569,1.5455,0.39899999999999997
2,True,2700,0.5,6,0.3921,0.8891,1.8361,0.4521
2,True,2700,0.5,7,0.2849,0.9125,2.0248,0.39659999999999995
2,True,2700,0.5,8,0.1505,0.975,2.2955,0.3923
2,True,2700,0.5,9,0.0973,0.9859,2.5193,0.40130000000000005
2,True,2700,0.5,10,0.0588,0.9859,2.7103,0.3968
2,True,2700,0.5,11,0.0447,0.9891,2.8567,0.4057
2,True,2700,0.5,12,0.0413,0.9891,2.9201,0.4214
2,True,2700,0.5,13,0.0282,0.9953,2.9804,0.419
2,True,2700,0.5,14,0.0243,0.9969,3.2728,0.42119999999999996
2,True,2700,0.5,15,0.013,0.9969,3.2303,0.4257
2,True,2700,0.5,16,0.0178,0.9937999999999999,3.1531,0.3968
2,True,2700,0.5,17,0.0108,0.9953,3.2833,0.4169
2,True,2700,0.5,18,0.0089,0.9984000000000001,3.3517,0.4147
2,True,2700,0.5,19,0.0081,0.9984000000000001,3.233,0.41450000000000004
2,True,2700,0.5,20,0.0163,0.9906,3.2725,0.4188
2,True,2700,0.5,21,0.0114,0.9953,3.5085,0.4191
2,True,2700,0.5,22,0.0229,0.9953,3.2397,0.39890000000000003
2,True,2700,0.5,23,0.0175,0.9906,3.2726,0.4169
2,True,2700,0.5,24,0.016,0.9984000000000001,3.3625,0.3836
2,True,2700,0.5,25,0.0079,0.9969,3.393,0.3566
2,True,2700,0.5,26,0.0086,0.9984000000000001,3.418,0.36560000000000004
2,True,2700,0.5,27,0.0114,0.9937999999999999,3.4448,0.3856
2,True,2700,0.5,28,0.0133,0.9969,3.5445,0.4102
2,True,2700,0.5,29,0.012,0.9953,3.4589,0.40130000000000005
2,True,2700,0.5,30,0.0055,0.9984000000000001,3.4384,0.4102
2,True,2700,0.5,31,0.0076,0.9984000000000001,3.4964,0.4035
2,True,2700,0.5,32,0.0048,0.9984000000000001,3.569,0.3923
2,True,2700,0.5,33,0.0055,0.9984000000000001,3.6184,0.3968
2,True,2700,0.5,34,0.0064,0.9984000000000001,3.6571,0.408
2,True,2700,0.5,35,0.0081,0.9984000000000001,3.6724,0.4035
2,True,2700,0.5,36,0.005,0.9984000000000001,3.6774,0.4147
2,True,2700,0.5,37,0.0044,0.9984000000000001,3.7482,0.408
2,True,2700,0.5,38,0.0029,1.0,3.8145,0.408
2,True,2700,0.5,39,0.0068,0.9984000000000001,3.8095,0.4057
2,True,2700,0.5,40,0.0046,0.9984000000000001,3.8244,0.4169
2,True,2700,0.5,41,0.0044,0.9984000000000001,3.8689,0.4214
2,True,2700,0.5,42,0.002,1.0,3.9425,0.4236
2,True,2700,0.5,43,0.005,0.9984000000000001,3.9799,0.4191
2,True,2700,0.5,44,0.0081,0.9984000000000001,3.9591,0.3946
2,True,2700,0.5,45,0.0131,0.9953,3.8702,0.3812
2,True,2700,0.5,46,0.008,0.9969,3.6886,0.3858
2,True,2700,0.5,47,0.0111,0.9922,3.7754,0.4035
2,True,2700,0.5,48,0.009,0.9984000000000001,3.925,0.4191
2,True,2700,0.5,49,0.0071,0.9984000000000001,3.9673,0.4147
2,True,2700,0.5,50,0.009,0.9984000000000001,3.9127,0.4057
2,True,2700,0.5,51,0.0304,0.9891,3.7167,0.4147
2,True,2700,0.5,52,0.0119,0.9953,3.6843,0.3858
2,True,2700,0.5,53,0.0146,0.9937999999999999,3.5013,0.3968
2,True,2700,0.5,54,0.0093,0.9969,3.557,0.3791
2,True,2700,0.5,55,0.008,0.9984000000000001,3.6042,0.3791
2,True,2700,0.5,56,0.0083,0.9969,3.7106,0.3791
2,True,2700,0.5,57,0.0065,0.9984000000000001,3.7522,0.3747
2,True,2700,0.5,58,0.0053,0.9984000000000001,3.7757,0.3724
2,True,2700,0.5,59,0.0062,0.9984000000000001,3.8085,0.3747
2,True,2700,0.5,60,0.0064,0.9984000000000001,3.8224,0.3836
2,True,2700,0.5,61,0.0055,0.9953,3.8852,0.3791
2,True,2700,0.5,62,0.01,0.9984000000000001,3.9063,0.38799999999999996
2,True,2700,0.5,63,0.0076,0.9984000000000001,3.8704,0.3946
2,True,2700,0.5,64,0.005,0.9969,3.9463,0.3789
2,True,2700,0.5,65,0.0061,0.9969,4.0448,0.3946
2,True,2700,0.5,66,0.0052,0.9984000000000001,3.9933,0.3946
2,True,2700,0.5,67,0.0078,0.9953,4.1244,0.3946
2,True,2700,0.5,68,0.005,0.9984000000000001,3.8695,0.3992
2,True,2700,0.5,69,0.0125,0.9953,3.8216,0.39030000000000004
2,True,2700,0.5,70,0.0067,0.9984000000000001,3.8228,0.38799999999999996
2,True,2700,0.5,71,0.0097,0.9969,3.8293,0.3836
2,True,2700,0.5,72,0.0062,0.9984000000000001,3.7979,0.4056
2,True,2700,0.5,73,0.0026,1.0,3.7978,0.39899999999999997
2,True,2700,0.5,74,0.0104,0.9937999999999999,3.8032,0.4035
2,True,2700,0.5,75,0.0059,0.9984000000000001,3.8901,0.38799999999999996
2,True,2700,0.5,76,0.0129,0.9953,3.8643,0.39030000000000004
2,True,2700,0.5,77,0.004,0.9984000000000001,3.9141,0.38799999999999996
2,True,2700,0.5,78,0.0067,0.9984000000000001,3.9395,0.3946
2,True,2700,0.5,79,0.0141,0.9953,3.8662,0.38770000000000004
2,True,2700,0.5,80,0.0084,0.9937999999999999,4.0176,0.368
2,True,2700,0.5,81,0.0103,0.9969,4.1471,0.3858
2,True,2700,0.5,82,0.0097,0.9953,3.8706,0.3789
2,True,2700,0.5,83,0.0081,0.9953,3.7801,0.4011
2,True,2700,0.5,84,0.0071,0.9984000000000001,3.9723,0.42340000000000005
2,True,2700,0.5,85,0.0103,0.9969,3.7039,0.41229999999999994
2,True,2700,0.5,86,0.0105,0.9969,3.7554,0.4056
2,True,2700,0.5,87,0.0082,0.9984000000000001,3.8996,0.4147
2,True,2700,0.5,88,0.0085,0.9969,3.9512,0.408
2,True,2700,0.5,89,0.01,0.9953,3.8602,0.3922
2,True,2700,0.5,90,0.0086,0.9969,3.8775,0.3901
2,True,2700,0.5,91,0.0052,0.9984000000000001,3.8492,0.3901
2,True,2700,0.5,92,0.005,0.9984000000000001,3.8791,0.39899999999999997
2,True,2700,0.5,93,0.0082,0.9984000000000001,3.9097,0.4035
2,True,2700,0.5,94,0.0095,0.9953,4.1197,0.3814
2,True,2700,0.5,95,0.0101,0.9953,4.0514,0.3901
2,True,2700,0.5,96,0.009,0.9984000000000001,3.9089,0.3968
2,True,2700,0.5,97,0.0058,0.9984000000000001,3.9698,0.40369999999999995
2,True,2700,0.5,98,0.0086,0.9984000000000001,3.9207,0.4035
2,True,2700,0.5,99,0.011,0.9953,3.7525,0.42340000000000005
2,True,2700,0.5,100,0.0156,0.9969,3.8126,0.42119999999999996
2,True,2700,0.5,101,0.008,0.9969,3.8927,0.38530000000000003
2,True,2700,0.5,102,0.0082,0.9969,3.8451,0.392
2,True,2700,0.5,103,0.0049,1.0,3.8689,0.38549999999999995
2,True,2700,0.5,104,0.0059,0.9984000000000001,3.8469,0.40090000000000003
2,True,2700,0.5,105,0.0068,0.9984000000000001,3.8442,0.3987
2,True,2700,0.5,106,0.0041,1.0,3.8221,0.3987
2,True,2700,0.5,107,0.016,0.9953,3.906,0.3944
2,True,2700,0.5,108,0.0094,0.9969,3.8606,0.4011
2,True,2700,0.5,109,0.0073,0.9984000000000001,3.8961,0.37450000000000006
2,True,2700,0.5,110,0.0074,0.9984000000000001,3.9526,0.3812
2,True,2700,0.5,111,0.0038,0.9984000000000001,4.0083,0.3856
2,True,2700,0.5,112,0.0038,0.9984000000000001,4.0288,0.3901
2,True,2700,0.5,113,0.0059,0.9953,4.0554,0.3812
2,True,2700,0.5,114,0.0037,0.9984000000000001,4.0891,0.3834
2,True,2700,0.5,115,0.0071,0.9984000000000001,4.0207,0.39659999999999995
2,True,2700,0.5,116,0.0077,0.9969,4.0411,0.3922
2,True,2700,0.5,117,0.0065,0.9984000000000001,4.0473,0.38770000000000004
2,True,2700,0.5,118,0.0045,0.9984000000000001,4.1161,0.3724
2,True,2700,0.5,119,0.0025,0.9984000000000001,4.2323,0.3814
2,True,2700,0.5,120,0.0062,0.9984000000000001,4.2739,0.3747
2,True,2700,0.5,121,0.0075,0.9969,4.2038,0.3791
2,True,2700,0.5,122,0.0039,0.9984000000000001,3.9874,0.4033
2,True,2700,0.5,123,0.0074,0.9969,4.0719,0.37020000000000003
2,True,2700,0.5,124,0.0053,0.9984000000000001,4.1686,0.3724
2,True,2700,0.5,125,0.0046,0.9984000000000001,4.1929,0.37670000000000003
