layers,bidir,emb_dim,dropout,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
5,True,4500,0.5,1,1.3798,0.2688,1.3668,0.2854
5,True,4500,0.5,2,1.365,0.34090000000000004,1.3355,0.37689999999999996
5,True,4500,0.5,3,1.1963,0.4753,1.4113,0.3096
5,True,4500,0.5,4,0.966,0.5934,1.4663,0.363
5,True,4500,0.5,5,0.6729,0.7431,1.8618,0.3944
5,True,4500,0.5,6,0.5121,0.8172,1.8522,0.44329999999999997
5,True,4500,0.5,7,0.3951,0.8703,2.2132,0.41450000000000004
5,True,4500,0.5,8,0.2144,0.9218999999999999,2.4262,0.4081
5,True,4500,0.5,9,0.1433,0.95,2.8295,0.3705
5,True,4500,0.5,10,0.1155,0.9688,2.7651,0.43439999999999995
5,True,4500,0.5,11,0.0866,0.975,3.0899,0.4411
5,True,4500,0.5,12,0.0919,0.9719,2.8644,0.4102
5,True,4500,0.5,13,0.1142,0.9641,2.8544,0.4191
5,True,4500,0.5,14,0.0729,0.9781,3.0038,0.42119999999999996
5,True,4500,0.5,15,0.0533,0.9859,3.1932,0.42119999999999996
5,True,4500,0.5,16,0.0372,0.9828,3.2207,0.43420000000000003
5,True,4500,0.5,17,0.0625,0.975,3.2849,0.41450000000000004
5,True,4500,0.5,18,0.0654,0.9843999999999999,3.1753,0.4147
5,True,4500,0.5,19,0.0515,0.9859,3.2435,0.3836
5,True,4500,0.5,20,0.0257,0.9937999999999999,3.5362,0.40369999999999995
5,True,4500,0.5,21,0.0351,0.9891,3.5621,0.4081
5,True,4500,0.5,22,0.0401,0.9843999999999999,3.585,0.3968
5,True,4500,0.5,23,0.0268,0.9937999999999999,3.7153,0.41
5,True,4500,0.5,24,0.0547,0.9828,3.3005,0.4035
5,True,4500,0.5,25,0.0469,0.9778,3.7878,0.38789999999999997
5,True,4500,0.5,26,0.0323,0.9906,3.5899,0.38799999999999996
5,True,4500,0.5,27,0.0294,0.9856,3.9786,0.3791
5,True,4500,0.5,28,0.0348,0.9906,3.8178,0.40369999999999995
5,True,4500,0.5,29,0.0423,0.9887,3.704,0.3968
5,True,4500,0.5,30,0.045,0.9875,3.7043,0.4057
5,True,4500,0.5,31,0.025,0.9937999999999999,3.6256,0.4147
5,True,4500,0.5,32,0.0174,0.9953,3.8105,0.4057
5,True,4500,0.5,33,0.016,0.9953,3.896,0.4035
5,True,4500,0.5,34,0.0259,0.9856,3.8619,0.39490000000000003
5,True,4500,0.5,35,0.0343,0.9891,4.1342,0.3815
5,True,4500,0.5,36,0.0508,0.9859,3.8237,0.3791
5,True,4500,0.5,37,0.0188,0.9953,3.7444,0.40130000000000005
5,True,4500,0.5,38,0.0105,0.9984000000000001,3.8,0.3858
5,True,4500,0.5,39,0.0266,0.9937999999999999,3.8307,0.42979999999999996
5,True,4500,0.5,40,0.0507,0.9891,3.7253,0.43200000000000005
5,True,4500,0.5,41,0.0494,0.9843999999999999,3.6622,0.4277
5,True,4500,0.5,42,0.0182,0.9922,3.5979,0.41240000000000004
5,True,4500,0.5,43,0.0331,0.9887,3.5954,0.4236
5,True,4500,0.5,44,0.0165,0.9984000000000001,3.8137,0.4169
5,True,4500,0.5,45,0.013,0.9969,3.8715,0.408
5,True,4500,0.5,46,0.0194,0.9922,3.8272,0.41
5,True,4500,0.5,47,0.0187,0.9922,4.024,0.40130000000000005
5,True,4500,0.5,48,0.0067,0.9984000000000001,4.1619,0.4035
5,True,4500,0.5,49,0.0109,0.9984000000000001,4.2083,0.4147
5,True,4500,0.5,50,0.0136,0.9969,4.1716,0.3968
5,True,4500,0.5,51,0.013,0.9969,4.1439,0.40130000000000005
5,True,4500,0.5,52,0.0088,0.9984000000000001,4.1289,0.38799999999999996
5,True,4500,0.5,53,0.033,0.9937999999999999,4.0536,0.3834
5,True,4500,0.5,54,0.0197,0.9953,3.9956,0.4011
5,True,4500,0.5,55,0.0199,0.9953,3.9231,0.39030000000000004
5,True,4500,0.5,56,0.0097,0.9953,4.2176,0.3836
5,True,4500,0.5,57,0.0242,0.9919,4.2776,0.3747
5,True,4500,0.5,58,0.0192,0.9969,4.1843,0.37020000000000003
5,True,4500,0.5,59,0.0104,0.9953,4.1511,0.3791
5,True,4500,0.5,60,0.005,0.9969,4.2495,0.3858
5,True,4500,0.5,61,0.0077,0.9969,4.2503,0.38549999999999995
5,True,4500,0.5,62,0.0101,0.9953,4.1935,0.3726
