layers,bidir,emb_dim,dropout,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
3,True,4500,0.7,1,1.3861,0.2641,1.3737,0.2854
3,True,4500,0.7,2,1.3679,0.2894,1.3642,0.28309999999999996
3,True,4500,0.7,3,1.3621,0.3194,1.3609,0.3189
3,True,4500,0.7,4,1.3525,0.3353,1.3504,0.359
3,True,4500,0.7,5,1.3343,0.37439999999999996,1.3267,0.3724
3,True,4500,0.7,6,1.2938,0.4294,1.3519,0.3791
3,True,4500,0.7,7,1.2169,0.4603,1.464,0.3475
3,True,4500,0.7,8,1.0946,0.5675,1.5361,0.4033
3,True,4500,0.7,9,0.9903,0.6431,1.643,0.3613
3,True,4500,0.7,10,0.8922,0.6459,1.7795,0.4147
3,True,4500,0.7,11,0.7118,0.7528,2.2934,0.3522
3,True,4500,0.7,12,0.5842,0.7825,2.3068,0.43939999999999996
3,True,4500,0.7,13,0.5302,0.8062,2.1347,0.38789999999999997
3,True,4500,0.7,14,0.4428,0.8466,2.4196,0.4035
3,True,4500,0.7,15,0.3861,0.8713,2.835,0.4238
3,True,4500,0.7,16,0.3639,0.8656,2.532,0.4215
3,True,4500,0.7,17,0.3139,0.8969,2.6197,0.4011
3,True,4500,0.7,18,0.2527,0.9140999999999999,2.9172,0.4413
3,True,4500,0.7,19,0.2475,0.9106000000000001,2.946,0.426
3,True,4500,0.7,20,0.1935,0.9281,2.9183,0.41479999999999995
3,True,4500,0.7,21,0.1866,0.9438,3.1288,0.4238
3,True,4500,0.7,22,0.1656,0.9484,3.4016,0.4171
3,True,4500,0.7,23,0.1426,0.9484,3.3948,0.4014
3,True,4500,0.7,24,0.1316,0.9469,3.8381,0.41479999999999995
3,True,4500,0.7,25,0.1522,0.9453,3.4001,0.3992
3,True,4500,0.7,26,0.1504,0.9434,3.7597,0.3994
3,True,4500,0.7,27,0.1183,0.9578,3.426,0.4257
3,True,4500,0.7,28,0.1416,0.95,3.4028,0.43479999999999996
3,True,4500,0.7,29,0.1136,0.9656,3.2175,0.4238
3,True,4500,0.7,30,0.1054,0.9625,3.4785,0.41479999999999995
3,True,4500,0.7,31,0.1065,0.9625,3.3966,0.4014
3,True,4500,0.7,32,0.0832,0.975,3.6876,0.4238
3,True,4500,0.7,33,0.1101,0.9688,3.6937,0.4061
3,True,4500,0.7,34,0.0721,0.9781,3.5649,0.4349
3,True,4500,0.7,35,0.0935,0.9669,3.8366,0.4481
3,True,4500,0.7,36,0.0739,0.9734,3.5843,0.4437
3,True,4500,0.7,37,0.0398,0.9828,3.7358,0.46149999999999997
3,True,4500,0.7,38,0.0889,0.9656,3.7334,0.4325
3,True,4500,0.7,39,0.0637,0.9828,3.99,0.43479999999999996
3,True,4500,0.7,40,0.0948,0.9672,3.9846,0.4413
3,True,4500,0.7,41,0.0575,0.9797,4.0858,0.4305
3,True,4500,0.7,42,0.078,0.9716,3.821,0.3992
3,True,4500,0.7,43,0.0996,0.9641,3.762,0.4414
