layers,bidir,emb_dim,dropout,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
3,True,900,0.6,1,1.3787,0.2844,1.3702,0.2854
3,True,900,0.6,2,1.3578,0.33159999999999995,1.3553,0.3322
3,True,900,0.6,3,1.3252,0.39159999999999995,1.341,0.3635
3,True,900,0.6,4,1.2455,0.45130000000000003,1.3424,0.3635
3,True,900,0.6,5,1.0304,0.5688,1.5021,0.4121
3,True,900,0.6,6,0.865,0.6587999999999999,1.5753,0.40759999999999996
3,True,900,0.6,7,0.699,0.7372,1.7962,0.38789999999999997
3,True,900,0.6,8,0.5048,0.825,2.5453,0.348
3,True,900,0.6,9,0.4684,0.8344,1.9815,0.41450000000000004
3,True,900,0.6,10,0.36,0.8734000000000001,2.1242,0.42579999999999996
3,True,900,0.6,11,0.3045,0.8863,2.4369,0.4014
3,True,900,0.6,12,0.2412,0.9168999999999999,2.6944,0.4214
3,True,900,0.6,13,0.2147,0.9218999999999999,2.669,0.4325
3,True,900,0.6,14,0.1975,0.9325,2.766,0.4014
3,True,900,0.6,15,0.2117,0.9218999999999999,2.7599,0.408
3,True,900,0.6,16,0.1335,0.9528,2.9557,0.3968
3,True,900,0.6,17,0.1094,0.9641,2.9781,0.4147
3,True,900,0.6,18,0.1012,0.9656,2.9892,0.4147
3,True,900,0.6,19,0.1185,0.9578,3.1833,0.4191
3,True,900,0.6,20,0.0995,0.9621999999999999,3.2349,0.3923
3,True,900,0.6,21,0.113,0.9578,3.219,0.3923
3,True,900,0.6,22,0.0823,0.975,3.3283,0.3946
3,True,900,0.6,23,0.0769,0.9765999999999999,3.4098,0.4214
3,True,900,0.6,24,0.0615,0.9812000000000001,3.2129,0.39899999999999997
3,True,900,0.6,25,0.0543,0.9843999999999999,3.5891,0.4169
3,True,900,0.6,26,0.0999,0.9703,3.2649,0.3946
3,True,900,0.6,27,0.0619,0.9828,3.4983,0.3946
3,True,900,0.6,28,0.0388,0.9872,3.8468,0.3812
3,True,900,0.6,29,0.0748,0.9781,3.7949,0.39890000000000003
3,True,900,0.6,30,0.0644,0.975,3.7862,0.39899999999999997
3,True,900,0.6,31,0.0352,0.9906,3.709,0.408
